# Tabulated drift velocities [mm/ns] are from "Greg's program" 
#temperature corrections for drift velocities
# percentage change of velocity per K (77 to 100 K)
#       M.A. Omar et al., solid State Electronics, 30, no.12
#                         (1987)1351.
# Karin: Added interpolated points @ 160, 240 , 600 
#              extrapolated points @ 3500-5000 for drift vel
#              extrapolated points @ 0 for tcorr
# Imported into MaGe from siggen, J. Detwiler (2011 May)
# E [V/cm]   e100    e110    e111    h100    h110    h111    Hcorr  Ecorr
     0     0.0     0.0     0.0     0.0     0.0     0.0       -3.    -2.1
   100	    .027    .027    .027    .036    .033    .031     -2.349 -1.748
   160 	   0.038   0.039   0.0386  0.047   0.043   0.040     -2.04  -1.57
   240 	   0.0490  0.050   0.048   0.056   0.051   0.048     -1.72  -1.36
   300	    .055    .055    .0525   .06     .055    .0525    -1.533 -1.225
   500	    .074    .07     .065    .072    .065    .062     -0.984 -0.832 
   600 	   0.081   0.077   0.069   0.077   0.069   0.065     -0.82  -0.70
   750	    .089    .086    .073    .081    .073    .069     -0.657 -.581 
  1000	    .101    .095    .078    .086    .077    .073     -0.505 -0.461
  1250	    .109    .102    .0825   .089    .08     .076     -0.426 -0.397
  1500	    .116    .106    .086    .0925   .082    .078     -0.380 -0.360
  1750	    .119    .111    .087    .095    .084    .08      -0.352 -0.337
  2000	    .122    .113    .088    .097    .086    .082     -0.332 -0.321
  2500	    .125    .1167   .091    .1      .088    .084     -0.310 -0.302
  3000	    .1275   .1175   .0925   .1025   .091    .086     -0.297 -0.292
  3500.	    .1283   .1183   .0928   .1036   .093    .091     -0.289 -0.285
  4000.	    .1288   .1188   .0930   .1041   .0945   .093     -0.284 -0.281
  4500.	    .1291   .1191   .0932   .1045   .096    .095     -0.281 -0.278
  5000.	    .1293   .1193   .0933   .1047   .097    .096     -0.278 -0.276
